claim,language,label,source,evidence,topic
India's Supreme Court was established in 1950,en,True,official_record,The Supreme Court is the final court of appeal and guardian of the Constitution,politics
The Simla Agreement of 1972 established the Line of Control between India and Pakistan,en,True,official_record,The Simla Agreement was signed after the 1971 Indo-Pakistan war,politics
The India-Pakistan partition in 1947 caused one of history's largest mass migrations,en,True,official_record,An estimated 14 to 18 million people were displaced during the 1947 partition,politics
The United Nations was founded in 1945,en,True,official_record,The UN was established on October 24 1945 after World War II,politics
The UN Security Council has five permanent members,en,True,official_record,"The P5 are the US, UK, France, Russia, and China, each holding veto power",politics
The UN General Assembly has 193 member states,en,True,official_record,The UNGA is the main deliberative body of the United Nations,politics
NATO is a military alliance of North American and European countries,en,True,official_record,NATO was founded in 1949 and has 32 member states as of 2024,politics
The European Union has 27 member states,en,True,official_record,The EU was established by the Maastricht Treaty in 1993,politics
The G20 is a forum of the world's major economies,en,True,official_record,G20 members represent about 85 percent of global GDP,politics
The World Trade Organization regulates international trade,en,True,official_record,The WTO was established in 1995 replacing the General Agreement on Tariffs and Trade,politics
The International Monetary Fund provides financial assistance to countries,en,True,official_record,The IMF was established in 1944 and has 190 member countries,politics
The World Bank provides loans to developing countries,en,True,official_record,The World Bank focuses on reducing poverty and promoting sustainable development,politics
ASEAN is an organization of Southeast Asian nations,en,True,official_record,ASEAN was founded in 1967 and has 10 member states,politics
The African Union is a continental organization of African states,en,True,official_record,The AU was established in 2002 succeeding the Organization of African Unity,politics
The United Nations headquarters is in New York City,en,True,official_record,"The UN Headquarters has been in Manhattan, New York since 1952",politics
"NATO headquarters is located in Brussels, Belgium",en,True,official_record,NATO moved to its current Brussels building in 2018,politics
The International Criminal Court is based in The Hague,en,True,official_record,The ICC was established in 2002 to prosecute war crimes and crimes against humanity,politics
"The BRICS group includes Brazil, Russia, India, China, and South Africa",en,True,official_record,BRICS nations represent major emerging market economies,politics
The Universal Declaration of Human Rights was adopted by the UN in 1948,en,True,official_record,The UDHR was proclaimed on December 10 1948,politics
The Geneva Conventions set standards for humanitarian treatment during war,en,True,official_record,The Geneva Conventions form the basis of international humanitarian law,politics
The Red Cross is an international humanitarian organisation,en,True,official_record,The ICRC was founded in 1863 and operates in conflict zones worldwide,politics
The Paris Agreement is an international treaty on climate change,en,True,official_record,The Paris Agreement was adopted in 2015 to limit warming to well below 2°C,politics
Brexit refers to the UK's withdrawal from the European Union,en,True,official_record,The UK officially left the EU on January 31 2020,politics
The Schengen Area allows passport-free travel across 27 European countries,en,True,official_record,The Schengen Agreement was signed in 1985 and implemented in 1995,politics
The European Union uses the euro as its common currency,en,True,official_record,The eurozone consists of 20 EU member states that use the euro,politics
George Washington was the first President of the United States,en,True,official_record,Washington served two terms as US President from 1789 to 1797,history
Abraham Lincoln was the 16th President of the United States,en,True,official_record,Lincoln led the US through the Civil War and signed the Emancipation Proclamation,history
The US Declaration of Independence was signed in 1776,en,True,official_record,The Declaration was adopted by the Continental Congress on July 4 1776,history
The US Constitution was ratified in 1788,en,True,official_record,The US Constitution came into force in 1789 and is the oldest written national constitution in use,history
The French Revolution began in 1789,en,True,official_record,The French Revolution overthrew the monarchy and established the First French Republic,history
Napoleon Bonaparte became Emperor of France in 1804,en,True,official_record,Napoleon crowned himself Emperor at Notre-Dame Cathedral in Paris,history
World War I began in 1914 and ended in 1918,en,True,official_record,WWI was triggered by the assassination of Archduke Franz Ferdinand in Sarajevo,history
World War II lasted from 1939 to 1945,en,True,official_record,WWII involved most of the world's nations and resulted in over 70 million deaths,history
The Cold War was a geopolitical tension between the US and USSR,en,True,official_record,The Cold War lasted from roughly 1947 to 1991,history
The Soviet Union dissolved in 1991,en,True,official_record,The USSR formally ceased to exist on December 25 1991,history
The Berlin Wall fell in 1989,en,True,official_record,The Berlin Wall fell on November 9 1989 symbolising the end of the Cold War,history
Nelson Mandela served as South Africa's first democratically elected President,en,True,official_record,Mandela was President of South Africa from 1994 to 1999,history
Apartheid was a system of racial segregation in South Africa,en,True,official_record,Apartheid was officially dismantled in 1991 and democratic elections held in 1994,history
Pakistan was created in 1947 as a separate nation,en,True,official_record,Pakistan was formed from British India in August 1947 as a homeland for Muslims,history
Bangladesh gained independence from Pakistan in 1971,en,True,official_record,Bangladesh declared independence on March 26 1971 after a liberation war,history
Ghana was the first sub-Saharan African country to gain independence in 1957,en,True,official_record,Ghana gained independence from Britain on March 6 1957 under Kwame Nkrumah,history
South Sudan became the world's newest country in 2011,en,True,official_record,South Sudan gained independence from Sudan on July 9 2011,history
India's first satellite Aryabhata was launched in 1975,en,True,official_record,Aryabhata was India's first satellite launched with Soviet assistance,history
The capital of India is New Delhi,en,True,encyclopaedia,New Delhi is the capital territory and seat of government of India,geography
The capital of the United States is Washington D.C.,en,True,encyclopaedia,Washington D.C. has been the federal capital of the US since 1800,geography
The capital of the United Kingdom is London,en,True,encyclopaedia,London has been the capital of England and the UK for centuries,geography
The capital of France is Paris,en,True,encyclopaedia,Paris is the official capital and largest city of France,geography
The capital of Germany is Berlin,en,True,encyclopaedia,Berlin became the capital of reunified Germany in 1990,geography
The capital of Japan is Tokyo,en,True,encyclopaedia,Tokyo is the capital and most populous city of Japan,geography
The capital of China is Beijing,en,True,encyclopaedia,Beijing has been the capital of China since 1949,geography
The capital of Russia is Moscow,en,True,encyclopaedia,Moscow is the capital and largest city of Russia,geography
The capital of Brazil is Brasília,en,True,encyclopaedia,Brasília replaced Rio de Janeiro as Brazil's capital in 1960,geography
The capital of Australia is Canberra,en,True,encyclopaedia,Canberra was purpose-built as Australia's capital and inaugurated in 1927,geography
The capital of Canada is Ottawa,en,True,encyclopaedia,Ottawa has been Canada's capital since 1857,geography
The capital of Pakistan is Islamabad,en,True,encyclopaedia,Islamabad replaced Karachi as Pakistan's capital in 1958,geography
The capital of Bangladesh is Dhaka,en,True,encyclopaedia,Dhaka is the capital and largest city of Bangladesh,geography
The capital of South Africa is Pretoria,en,True,encyclopaedia,Pretoria is the executive capital of South Africa,geography
The capital of Egypt is Cairo,en,True,encyclopaedia,Cairo is the capital and largest city of Egypt,geography
The capital of Saudi Arabia is Riyadh,en,True,encyclopaedia,Riyadh is the capital and largest city of Saudi Arabia,geography
The capital of Turkey is Ankara,en,True,encyclopaedia,Ankara replaced Istanbul as Turkey's capital in 1923,geography
The capital of Nigeria is Abuja,en,True,encyclopaedia,Abuja replaced Lagos as Nigeria's capital in 1991,geography
The capital of Kenya is Nairobi,en,True,encyclopaedia,Nairobi is the capital and largest city of Kenya,geography
The capital of Indonesia is Jakarta,en,True,encyclopaedia,Jakarta was the capital of Indonesia before the planned move to Nusantara,geography
The capital of South Korea is Seoul,en,True,encyclopaedia,Seoul is the capital and largest city of South Korea,geography
The capital of Italy is Rome,en,True,encyclopaedia,Rome has been the capital of Italy since 1871,geography
The capital of Spain is Madrid,en,True,encyclopaedia,Madrid is the capital and largest city of Spain,geography
The capital of Mexico is Mexico City,en,True,encyclopaedia,Mexico City is the capital and most populous city of Mexico,geography
The capital of Argentina is Buenos Aires,en,True,encyclopaedia,Buenos Aires is the capital and largest city of Argentina,geography
The capital of Sweden is Stockholm,en,True,encyclopaedia,Stockholm is the capital and most populous city of Sweden,geography
The capital of Norway is Oslo,en,True,encyclopaedia,Oslo is the capital and most populous city of Norway,geography
The capital of Netherlands is Amsterdam,en,True,encyclopaedia,Amsterdam is the official capital of the Netherlands,geography
The capital of Poland is Warsaw,en,True,encyclopaedia,Warsaw is the capital and largest city of Poland,geography
The capital of Greece is Athens,en,True,encyclopaedia,Athens is the capital and largest city of Greece,geography
The capital of Iran is Tehran,en,True,encyclopaedia,Tehran is the capital and largest city of Iran,geography
The capital of Afghanistan is Kabul,en,True,encyclopaedia,Kabul is the capital and largest city of Afghanistan,geography
The capital of Thailand is Bangkok,en,True,encyclopaedia,Bangkok is the capital and most populous city of Thailand,geography
The capital of Malaysia is Kuala Lumpur,en,True,encyclopaedia,Kuala Lumpur is the federal capital of Malaysia,geography
The capital of Philippines is Manila,en,True,encyclopaedia,Manila is the capital city of the Philippines,geography
The capital of New Zealand is Wellington,en,True,encyclopaedia,Wellington is the capital city of New Zealand,geography
The capital of Colombia is Bogotá,en,True,encyclopaedia,Bogotá is the capital and largest city of Colombia,geography
The capital of Peru is Lima,en,True,encyclopaedia,Lima is the capital and largest city of Peru,geography
The capital of Morocco is Rabat,en,True,encyclopaedia,Rabat is the capital of Morocco,geography
The capital of Sri Lanka is Colombo,en,True,encyclopaedia,Colombo is the commercial capital and largest city of Sri Lanka,geography
The capital of Nepal is Kathmandu,en,True,encyclopaedia,Kathmandu is the capital and largest city of Nepal,geography
The capital of Myanmar is Naypyidaw,en,True,encyclopaedia,Naypyidaw replaced Yangon as Myanmar's capital in 2006,geography
The capital of Vietnam is Hanoi,en,True,encyclopaedia,Hanoi is the capital of Vietnam,geography
The capital of Ukraine is Kyiv,en,True,encyclopaedia,Kyiv is the capital and most populous city of Ukraine,geography
The capital of Israel is Jerusalem,en,True,encyclopaedia,Jerusalem is proclaimed as the capital of Israel,geography
The capital of Portugal is Lisbon,en,True,encyclopaedia,Lisbon is the capital and largest city of Portugal,geography
The capital of Austria is Vienna,en,True,encyclopaedia,Vienna is the capital and largest city of Austria,geography
The capital of Belgium is Brussels,en,True,encyclopaedia,Brussels is the capital of Belgium,geography
The capital of Switzerland is Bern,en,True,encyclopaedia,Bern is the de facto capital of Switzerland,geography
The capital of Denmark is Copenhagen,en,True,encyclopaedia,Copenhagen is the capital of Denmark,geography
The capital of Chile is Santiago,en,True,encyclopaedia,Santiago is the capital and largest city of Chile,geography
The capital of Cuba is Havana,en,True,encyclopaedia,Havana is the capital and largest city of Cuba,geography
The capital of Venezuela is Caracas,en,True,encyclopaedia,Caracas is the capital and largest city of Venezuela,geography
The capital of Ethiopia is Addis Ababa,en,True,encyclopaedia,Addis Ababa is the capital city of Ethiopia,geography
The capital of Ghana is Accra,en,True,encyclopaedia,Accra is the capital and largest city of Ghana,geography
The capital of Tanzania is Dodoma,en,True,encyclopaedia,Dodoma is the official capital of Tanzania,geography
The capital of Uganda is Kampala,en,True,encyclopaedia,Kampala is the capital and largest city of Uganda,geography
The capital of Rwanda is Kigali,en,True,encyclopaedia,Kigali is the capital and largest city of Rwanda,geography
The capital of Singapore is Singapore City,en,True,encyclopaedia,Singapore is a city-state where the capital and the country are the same,geography
The capital of Cambodia is Phnom Penh,en,True,encyclopaedia,Phnom Penh is the capital and largest city of Cambodia,geography
The capital of Cuba is Havana,en,True,encyclopaedia,"Havana is the political, cultural, and economic centre of Cuba",geography
The capital of Ireland is Dublin,en,True,encyclopaedia,Dublin is the capital and largest city of Ireland,geography
The capital of Hungary is Budapest,en,True,encyclopaedia,Budapest is the capital and most populous city of Hungary,geography
The capital of Romania is Bucharest,en,True,encyclopaedia,Bucharest is the capital and largest city of Romania,geography
The capital of Czech Republic is Prague,en,True,encyclopaedia,Prague is the capital and largest city of the Czech Republic,geography
The capital of Finland is Helsinki,en,True,encyclopaedia,Helsinki is the capital and most populous city of Finland,geography
Water has the chemical formula H2O,en,True,science,Water consists of two hydrogen atoms covalently bonded to one oxygen atom,science
The speed of light in a vacuum is approximately 299792 kilometres per second,en,True,science,Light travels at 299792458 metres per second in a vacuum,science
The periodic table has 118 confirmed elements,en,True,science,Element 118 oganesson was officially confirmed in 2015,science
Hydrogen is the lightest and most abundant element in the universe,en,True,science,Hydrogen makes up about 75 percent of all normal matter by mass in the universe,science
Oxygen is the most abundant element in Earth's crust,en,True,science,Oxygen makes up about 46 percent of Earth's crust by mass,science
Gold has the chemical symbol Au from the Latin word aurum,en,True,science,Au is the chemical symbol for gold derived from the Latin aurum,science
Iron has the chemical symbol Fe from the Latin word ferrum,en,True,science,Fe is the chemical symbol for iron derived from the Latin ferrum,science
Silver has the chemical symbol Ag from the Latin word argentum,en,True,science,Ag is the chemical symbol for silver derived from the Latin argentum,science
Sodium has the chemical symbol Na from the Latin word natrium,en,True,science,Na is the chemical symbol for sodium derived from the Latin natrium,science
Potassium has the chemical symbol K from the Latin word kalium,en,True,science,K is the chemical symbol for potassium derived from the Latin kalium,science
Copper has the chemical symbol Cu from the Latin word cuprum,en,True,science,Cu is the chemical symbol for copper derived from the Latin cuprum,science
Lead has the chemical symbol Pb from the Latin word plumbum,en,True,science,Pb is the chemical symbol for lead derived from the Latin plumbum,science
The atomic number of hydrogen is 1,en,True,science,Hydrogen has 1 proton in its nucleus and is the simplest element,science
The atomic number of carbon is 6,en,True,science,Carbon has 6 protons in its nucleus and is the basis of all known life,science
The atomic number of oxygen is 8,en,True,science,Oxygen has 8 protons in its nucleus,science
The atomic number of gold is 79,en,True,science,Gold has 79 protons in its nucleus,science
The atomic number of uranium is 92,en,True,science,Uranium has 92 protons and is the heaviest naturally occurring element,science
Sodium chloride is the chemical name for common table salt,en,True,science,Table salt has the chemical formula NaCl,science
Carbon dioxide has the chemical formula CO2,en,True,science,CO2 consists of one carbon atom bonded to two oxygen atoms,science
Diamonds are made of carbon atoms arranged in a crystal lattice,en,True,science,Diamond is the hardest naturally occurring substance and is an allotrope of carbon,science
The pH scale measures acidity and alkalinity from 0 to 14,en,True,science,"A pH of 7 is neutral, below 7 is acidic, and above 7 is alkaline",science
Pure water has a pH of 7 making it neutral,en,True,science,Distilled water has a pH of 7 at 25 degrees Celsius,science
Ionic bonds form when atoms transfer electrons,en,True,science,Ionic bonds occur between atoms with large differences in electronegativity,science
Covalent bonds form when atoms share electrons,en,True,science,Covalent bonds are common in organic molecules,science
The periodic table was created by Dmitri Mendeleev in 1869,en,True,science,Mendeleev arranged elements by atomic mass and predicted undiscovered elements,science
Absolute zero is minus 273.15 degrees Celsius or 0 Kelvin,en,True,science,At absolute zero all molecular motion theoretically ceases,science
Water boils at 100 degrees Celsius at standard atmospheric pressure,en,True,science,Water boils at 100°C or 212°F at 1 atmosphere of pressure,science
Water freezes at 0 degrees Celsius at standard atmospheric pressure,en,True,science,Water freezes at 0°C or 32°F at standard atmospheric pressure,science
Ozone in the stratosphere protects Earth from ultraviolet radiation,en,True,science,The ozone layer absorbs most of the Sun's harmful UV radiation,science
CFCs are responsible for ozone layer depletion,en,True,science,Chlorofluorocarbons were banned by the 1987 Montreal Protocol,science
Sublimation is the transition from solid directly to gas,en,True,science,Dry ice sublimates at room temperature turning directly to CO2 gas,science
Evaporation occurs when liquid water becomes water vapour,en,True,science,Evaporation is driven by thermal energy at the surface of liquid water,science
Condensation occurs when water vapour becomes liquid water,en,True,science,Condensation releases latent heat and forms clouds and dew,science
The Earth orbits the Sun once every 365.25 days,en,True,science,Earth's orbital period averages 365.25 days leading to leap years every four years,science
The gravitational acceleration on Earth's surface is approximately 9.8 m per second squared,en,True,science,Standard gravity is defined as 9.80665 m/s² at Earth's surface,science
Sound travels faster in solids than in gases,en,True,science,Sound moves at about 5000 m/s in steel but only 343 m/s in air,science
Light travels faster than sound,en,True,science,Light travels at 300000 km/s while sound travels at 343 m/s in air,science
Sound cannot travel through a vacuum,en,True,science,Sound is a mechanical wave and requires a medium such as air or water to propagate,science
The speed of sound in air at 20 degrees Celsius is approximately 343 metres per second,en,True,science,Sound speed in air depends on temperature and humidity,science
The Law of Conservation of Energy states energy cannot be created or destroyed,en,True,science,Energy can only be converted from one form to another,science
The Law of Conservation of Mass states matter is not created or destroyed in chemical reactions,en,True,science,Total mass of reactants equals total mass of products in any chemical reaction,science
Newton's first law states an object stays at rest or in motion unless acted on by a force,en,True,science,This is also known as the law of inertia,science
Newton's second law states force equals mass times acceleration,en,True,science,F = ma is one of the most fundamental equations in classical mechanics,science
Newton's third law states every action has an equal and opposite reaction,en,True,science,This principle explains how rockets propel themselves in space,science
Electric current is measured in amperes,en,True,science,The ampere is the SI base unit of electric current,science
Voltage is measured in volts,en,True,science,Voltage is the electric potential difference between two points in a circuit,science
Resistance is measured in ohms,en,True,science,"Ohm's Law states V = IR where V is voltage, I is current, and R is resistance",science
Energy is measured in joules,en,True,science,"The joule is the SI unit of energy, work, and heat",science
Force is measured in newtons,en,True,science,One newton is the force needed to accelerate 1 kg at 1 m/s²,science
Power is measured in watts,en,True,science,One watt equals one joule of energy transferred per second,science
Mass is measured in kilograms,en,True,science,The kilogram is the base unit of mass in the SI system,science
The electromagnetic spectrum ranges from radio waves to gamma rays,en,True,science,Visible light is only a small portion of the full electromagnetic spectrum,science
The wavelength of visible light ranges from about 380 to 700 nanometres,en,True,science,Violet has the shortest visible wavelength and red has the longest,science
X-rays pass through soft tissue but are absorbed by dense matter like bone,en,True,science,This property makes X-rays useful for medical imaging,science
Nuclear fission splits atomic nuclei to release energy,en,True,science,Nuclear fission is used in nuclear power plants and atomic bombs,science
Nuclear fusion combines atomic nuclei to release energy,en,True,science,Fusion powers the Sun and is sought as a clean energy source,science
Albert Einstein developed the theory of relativity,en,True,science,Einstein published special relativity in 1905 and general relativity in 1915,science
Plasma is the fourth state of matter,en,True,science,Plasma is ionised gas and is the most common state of visible matter in the universe,science
Copper is an excellent conductor of electricity,en,True,science,Copper's high conductivity makes it widely used in electrical wiring,science
Rubber is a good insulator of electricity,en,True,science,Rubber's molecular structure prevents the flow of electric current,science
Magnets have a north pole and a south pole,en,True,science,Opposite magnetic poles attract while like poles repel,science
Earth has a magnetic field generated by its molten iron core,en,True,science,Earth's magnetic field forms the magnetosphere that shields us from solar wind,science
The Doppler effect describes the change in frequency of a wave relative to a moving observer,en,True,science,The Doppler effect causes a siren to sound higher as it approaches and lower as it moves away,science
Archimedes' principle states an object in fluid experiences an upward buoyant force,en,True,science,Buoyant force equals the weight of the fluid displaced by the object,science
Pascal's principle states pressure in a fluid is transmitted equally in all directions,en,True,science,Pascal's principle is the basis for hydraulic systems,science
Radioactive decay is the spontaneous disintegration of an atomic nucleus,en,True,science,"Radioactive decay releases alpha, beta, or gamma radiation",science
Half-life is the time taken for half of a radioactive substance to decay,en,True,science,Carbon-14 has a half-life of about 5730 years used in radiocarbon dating,science
"The four fundamental forces are gravity, electromagnetism, strong nuclear, and weak nuclear",en,True,science,These four forces govern all interactions between particles in the universe,science
Gravity is the weakest of the four fundamental forces,en,True,science,"Despite being weakest, gravity has infinite range and dominates at cosmic scales",science
A rainbow forms when sunlight is refracted and dispersed by water droplets,en,True,science,Rainbows appear in the direction opposite the Sun at an angle of about 42 degrees,science
Lightning is an electrical discharge in the atmosphere,en,True,science,Lightning occurs when electric charges build up in storm clouds,science
DNA stands for deoxyribonucleic acid,en,True,science,DNA carries genetic information in living organisms,science
"Photosynthesis converts sunlight, water, and CO2 into glucose and oxygen",en,True,science,The equation for photosynthesis is 6CO2 + 6H2O yields C6H12O6 + 6O2,science
The mitochondria is the powerhouse of the cell,en,True,science,Mitochondria generate most of the cell's ATP through cellular respiration,science
The human body has 206 bones in adulthood,en,True,science,Newborns have about 270 bones that fuse over time to become 206,science
The human heart beats about 70 times per minute at rest,en,True,science,A normal resting adult heart rate ranges from 60 to 100 beats per minute,science
The largest organ in the human body is the skin,en,True,science,Human skin covers about 1.5 to 2 square metres and weighs around 3 to 4 kg,science
The brain uses about 20 percent of the body's oxygen supply,en,True,science,The brain consumes 20 percent of total body energy despite being only 2 percent of body weight,science
Red blood cells carry oxygen throughout the body,en,True,science,Red blood cells contain haemoglobin which binds to oxygen molecules,science
White blood cells are part of the immune system,en,True,science,White blood cells defend the body against infections and foreign substances,science
The human genome contains approximately 3 billion base pairs,en,True,science,The human haploid genome has about 3.2 billion nucleotide base pairs,science
Humans have 23 pairs of chromosomes totalling 46,en,True,science,Human somatic cells contain 46 chromosomes arranged in 23 pairs,science
Mitosis produces two genetically identical daughter cells,en,True,science,Mitosis is the process of cell division for growth and repair,science
Meiosis produces four genetically unique sex cells,en,True,science,Meiosis results in gametes with half the chromosomes of the parent cell,science
RNA carries genetic information from DNA to ribosomes,en,True,science,Messenger RNA is transcribed from DNA and translated into proteins at ribosomes,science
Proteins are made of amino acids,en,True,science,There are 20 standard amino acids used to build all proteins,science
Enzymes are biological catalysts that speed up chemical reactions,en,True,science,Enzymes lower the activation energy of biochemical reactions,science
Osmosis is the movement of water across a semi-permeable membrane,en,True,science,Water moves from areas of low solute concentration to high solute concentration,science
Diffusion is the movement of molecules from high to low concentration,en,True,science,Diffusion is a passive process requiring no energy input,science
The Krebs cycle is a key part of cellular respiration,en,True,science,The Krebs cycle occurs in the mitochondria producing ATP and CO2,science
Stem cells can develop into many different cell types,en,True,science,Embryonic stem cells are pluripotent and can differentiate into any cell type,science
CRISPR is a precise gene editing technology,en,True,science,CRISPR-Cas9 won the 2020 Nobel Prize in Chemistry for its gene editing capability,science
The liver is the largest internal organ in the human body,en,True,science,The liver performs over 500 functions including detoxification and protein synthesis,science
Insulin is produced by the pancreas,en,True,science,Insulin regulates blood glucose levels and is essential for energy metabolism,science
Vaccines train the immune system to recognise pathogens,en,True,science,Vaccines contain antigens that stimulate an immune response without causing disease,science
Antibiotics treat bacterial but not viral infections,en,True,science,Antibiotics inhibit or kill bacteria but have no effect on viruses,science
Viruses are not considered living organisms,en,True,science,Viruses lack cellular structure and must use host cells to replicate,science
