claim,language,label,source,evidence,topic
The capital of India is New Delhi,en,0,encyclopaedia,New Delhi is the capital territory and seat of government of India,geography
The capital of the United States is Washington D.C.,en,0,encyclopaedia,Washington D.C. has been the federal capital of the US since 1800,geography
The capital of the United Kingdom is London,en,0,encyclopaedia,London has been the capital of England and the UK for centuries,geography
The capital of France is Paris,en,0,encyclopaedia,Paris is the official capital and largest city of France,geography
The capital of Germany is Berlin,en,0,encyclopaedia,Berlin became the capital of reunified Germany in 1990,geography
The capital of Japan is Tokyo,en,0,encyclopaedia,Tokyo is the capital and most populous city of Japan,geography
The capital of China is Beijing,en,0,encyclopaedia,Beijing has been the capital of China since 1949,geography
The capital of Russia is Moscow,en,0,encyclopaedia,Moscow is the capital and largest city of Russia,geography
The capital of Brazil is Brasília,en,0,encyclopaedia,Brasília replaced Rio de Janeiro as Brazil's capital in 1960,geography
The capital of Australia is Canberra,en,0,encyclopaedia,Canberra was purpose-built as Australia's capital and inaugurated in 1927,geography
The capital of Canada is Ottawa,en,0,encyclopaedia,Ottawa has been Canada's capital since 1857,geography
The capital of Pakistan is Islamabad,en,0,encyclopaedia,Islamabad replaced Karachi as Pakistan's capital in 1958,geography
The capital of Bangladesh is Dhaka,en,0,encyclopaedia,Dhaka is the capital and largest city of Bangladesh,geography
The capital of South Africa is Pretoria,en,0,encyclopaedia,Pretoria is the executive capital of South Africa,geography
The capital of Egypt is Cairo,en,0,encyclopaedia,Cairo is the capital and largest city of Egypt,geography
The capital of Saudi Arabia is Riyadh,en,0,encyclopaedia,Riyadh is the capital and largest city of Saudi Arabia,geography
The capital of Turkey is Ankara,en,0,encyclopaedia,Ankara replaced Istanbul as Turkey's capital in 1923,geography
The capital of Nigeria is Abuja,en,0,encyclopaedia,Abuja replaced Lagos as Nigeria's capital in 1991,geography
The capital of Kenya is Nairobi,en,0,encyclopaedia,Nairobi is the capital and largest city of Kenya,geography
The capital of Indonesia is Jakarta,en,0,encyclopaedia,Jakarta was the capital of Indonesia before the planned move to Nusantara,geography
The capital of South Korea is Seoul,en,0,encyclopaedia,Seoul is the capital and largest city of South Korea,geography
The capital of Italy is Rome,en,0,encyclopaedia,Rome has been the capital of Italy since 1871,geography
The capital of Spain is Madrid,en,0,encyclopaedia,Madrid is the capital and largest city of Spain,geography
The capital of Mexico is Mexico City,en,0,encyclopaedia,Mexico City is the capital and most populous city of Mexico,geography
The capital of Argentina is Buenos Aires,en,0,encyclopaedia,Buenos Aires is the capital and largest city of Argentina,geography
The capital of Sweden is Stockholm,en,0,encyclopaedia,Stockholm is the capital and most populous city of Sweden,geography
The capital of Norway is Oslo,en,0,encyclopaedia,Oslo is the capital and most populous city of Norway,geography
The capital of Netherlands is Amsterdam,en,0,encyclopaedia,Amsterdam is the official capital of the Netherlands,geography
The capital of Poland is Warsaw,en,0,encyclopaedia,Warsaw is the capital and largest city of Poland,geography
The capital of Greece is Athens,en,0,encyclopaedia,Athens is the capital and largest city of Greece,geography
The capital of Iran is Tehran,en,0,encyclopaedia,Tehran is the capital and largest city of Iran,geography
The capital of Afghanistan is Kabul,en,0,encyclopaedia,Kabul is the capital and largest city of Afghanistan,geography
The capital of Thailand is Bangkok,en,0,encyclopaedia,Bangkok is the capital and most populous city of Thailand,geography
The capital of Malaysia is Kuala Lumpur,en,0,encyclopaedia,Kuala Lumpur is the federal capital of Malaysia,geography
The capital of Philippines is Manila,en,0,encyclopaedia,Manila is the capital city of the Philippines,geography
The capital of New Zealand is Wellington,en,0,encyclopaedia,Wellington is the capital city of New Zealand,geography
The capital of Colombia is Bogotá,en,0,encyclopaedia,Bogotá is the capital and largest city of Colombia,geography
The capital of Peru is Lima,en,0,encyclopaedia,Lima is the capital and largest city of Peru,geography
The capital of Morocco is Rabat,en,0,encyclopaedia,Rabat is the capital of Morocco,geography
The capital of Sri Lanka is Colombo,en,0,encyclopaedia,Colombo is the commercial capital and largest city of Sri Lanka,geography
The capital of Nepal is Kathmandu,en,0,encyclopaedia,Kathmandu is the capital and largest city of Nepal,geography
The capital of Myanmar is Naypyidaw,en,0,encyclopaedia,Naypyidaw replaced Yangon as Myanmar's capital in 2006,geography
The capital of Vietnam is Hanoi,en,0,encyclopaedia,Hanoi is the capital of Vietnam,geography
The capital of Ukraine is Kyiv,en,0,encyclopaedia,Kyiv is the capital and most populous city of Ukraine,geography
The capital of Israel is Jerusalem,en,0,encyclopaedia,Jerusalem is proclaimed as the capital of Israel,geography
The capital of Portugal is Lisbon,en,0,encyclopaedia,Lisbon is the capital and largest city of Portugal,geography
The capital of Austria is Vienna,en,0,encyclopaedia,Vienna is the capital and largest city of Austria,geography
The capital of Belgium is Brussels,en,0,encyclopaedia,Brussels is the capital of Belgium,geography
The capital of Switzerland is Bern,en,0,encyclopaedia,Bern is the de facto capital of Switzerland,geography
The capital of Denmark is Copenhagen,en,0,encyclopaedia,Copenhagen is the capital of Denmark,geography
The capital of Chile is Santiago,en,0,encyclopaedia,Santiago is the capital and largest city of Chile,geography
The capital of Cuba is Havana,en,0,encyclopaedia,Havana is the capital and largest city of Cuba,geography
The capital of Venezuela is Caracas,en,0,encyclopaedia,Caracas is the capital and largest city of Venezuela,geography
The capital of Ethiopia is Addis Ababa,en,0,encyclopaedia,Addis Ababa is the capital city of Ethiopia,geography
The capital of Ghana is Accra,en,0,encyclopaedia,Accra is the capital and largest city of Ghana,geography
The capital of Tanzania is Dodoma,en,0,encyclopaedia,Dodoma is the official capital of Tanzania,geography
The capital of Uganda is Kampala,en,0,encyclopaedia,Kampala is the capital and largest city of Uganda,geography
The capital of Rwanda is Kigali,en,0,encyclopaedia,Kigali is the capital and largest city of Rwanda,geography
The capital of Singapore is Singapore City,en,0,encyclopaedia,Singapore is a city-state where the capital and the country are the same,geography
The capital of Cambodia is Phnom Penh,en,0,encyclopaedia,Phnom Penh is the capital and largest city of Cambodia,geography
The capital of Ireland is Dublin,en,0,encyclopaedia,Dublin is the capital and largest city of Ireland,geography
The capital of Hungary is Budapest,en,0,encyclopaedia,Budapest is the capital and most populous city of Hungary,geography
The capital of Romania is Bucharest,en,0,encyclopaedia,Bucharest is the capital and largest city of Romania,geography
The capital of Czech Republic is Prague,en,0,encyclopaedia,Prague is the capital and largest city of the Czech Republic,geography
The capital of Finland is Helsinki,en,0,encyclopaedia,Helsinki is the capital and most populous city of Finland,geography
Water has the chemical formula H2O,en,0,science,Water consists of two hydrogen atoms covalently bonded to one oxygen atom,science
The speed of light in a vacuum is approximately 299792 kilometres per second,en,0,science,Light travels at 299792458 metres per second in a vacuum,science
The periodic table has 118 confirmed elements,en,0,science,Element 118 oganesson was officially confirmed in 2015,science
Hydrogen is the lightest and most abundant element in the universe,en,0,science,Hydrogen makes up about 75 percent of all normal matter by mass in the universe,science
Oxygen is the most abundant element in Earth's crust,en,0,science,Oxygen makes up about 46 percent of Earth's crust by mass,science
Gold has the chemical symbol Au from the Latin word aurum,en,0,science,Au is the chemical symbol for gold derived from the Latin aurum,science
Iron has the chemical symbol Fe from the Latin word ferrum,en,0,science,Fe is the chemical symbol for iron derived from the Latin ferrum,science
Silver has the chemical symbol Ag from the Latin word argentum,en,0,science,Ag is the chemical symbol for silver derived from the Latin argentum,science
Sodium has the chemical symbol Na from the Latin word natrium,en,0,science,Na is the chemical symbol for sodium derived from the Latin natrium,science
Potassium has the chemical symbol K from the Latin word kalium,en,0,science,K is the chemical symbol for potassium derived from the Latin kalium,science
Copper has the chemical symbol Cu from the Latin word cuprum,en,0,science,Cu is the chemical symbol for copper derived from the Latin cuprum,science
Lead has the chemical symbol Pb from the Latin word plumbum,en,0,science,Pb is the chemical symbol for lead derived from the Latin plumbum,science
The atomic number of hydrogen is 1,en,0,science,Hydrogen has 1 proton in its nucleus and is the simplest element,science
The atomic number of carbon is 6,en,0,science,Carbon has 6 protons in its nucleus and is the basis of all known life,science
The atomic number of oxygen is 8,en,0,science,Oxygen has 8 protons in its nucleus,science
The atomic number of gold is 79,en,0,science,Gold has 79 protons in its nucleus,science
The atomic number of uranium is 92,en,0,science,Uranium has 92 protons and is the heaviest naturally occurring element,science
Sodium chloride is the chemical name for common table salt,en,0,science,Table salt has the chemical formula NaCl,science
Carbon dioxide has the chemical formula CO2,en,0,science,CO2 consists of one carbon atom bonded to two oxygen atoms,science
Diamonds are made of carbon atoms arranged in a crystal lattice,en,0,science,Diamond is the hardest naturally occurring substance and is an allotrope of carbon,science
The pH scale measures acidity and alkalinity from 0 to 14,en,0,science,"A pH of 7 is neutral, below 7 is acidic, and above 7 is alkaline",science
Pure water has a pH of 7 making it neutral,en,0,science,Distilled water has a pH of 7 at 25 degrees Celsius,science
Ionic bonds form when atoms transfer electrons,en,0,science,Ionic bonds occur between atoms with large differences in electronegativity,science
Covalent bonds form when atoms share electrons,en,0,science,Covalent bonds are common in organic molecules,science
The periodic table was created by Dmitri Mendeleev in 1869,en,0,science,Mendeleev arranged elements by atomic mass and predicted undiscovered elements,science
Absolute zero is minus 273.15 degrees Celsius or 0 Kelvin,en,0,science,At absolute zero all molecular motion theoretically ceases,science
Water boils at 100 degrees Celsius at standard atmospheric pressure,en,0,science,Water boils at 100°C or 212°F at 1 atmosphere of pressure,science
Water freezes at 0 degrees Celsius at standard atmospheric pressure,en,0,science,Water freezes at 0°C or 32°F at standard atmospheric pressure,science
Ozone in the stratosphere protects Earth from ultraviolet radiation,en,0,science,The ozone layer absorbs most of the Sun's harmful UV radiation,science
CFCs are responsible for ozone layer depletion,en,0,science,Chlorofluorocarbons were banned by the 1987 Montreal Protocol,science
Sublimation is the transition from solid directly to gas,en,0,science,Dry ice sublimates at room temperature turning directly to CO2 gas,science
Evaporation occurs when liquid water becomes water vapour,en,0,science,Evaporation is driven by thermal energy at the surface of liquid water,science
Condensation occurs when water vapour becomes liquid water,en,0,science,Condensation releases latent heat and forms clouds and dew,science
The Earth orbits the Sun once every 365.25 days,en,0,science,Earth's orbital period averages 365.25 days leading to leap years every four years,science
The gravitational acceleration on Earth's surface is approximately 9.8 m per second squared,en,0,science,Standard gravity is defined as 9.80665 m/s² at Earth's surface,science
Sound travels faster in solids than in gases,en,0,science,Sound moves at about 5000 m/s in steel but only 343 m/s in air,science
Light travels faster than sound,en,0,science,Light travels at 300000 km/s while sound travels at 343 m/s in air,science
Sound cannot travel through a vacuum,en,0,science,Sound is a mechanical wave and requires a medium such as air or water to propagate,science
The speed of sound in air at 20 degrees Celsius is approximately 343 metres per second,en,0,science,Sound speed in air depends on temperature and humidity,science
The Law of Conservation of Energy states energy cannot be created or destroyed,en,0,science,Energy can only be converted from one form to another,science
The Law of Conservation of Mass states matter is not created or destroyed in chemical reactions,en,0,science,Total mass of reactants equals total mass of products in any chemical reaction,science
Newton's first law states an object stays at rest or in motion unless acted on by a force,en,0,science,This is also known as the law of inertia,science
Newton's second law states force equals mass times acceleration,en,0,science,F = ma is one of the most fundamental equations in classical mechanics,science
Newton's third law states every action has an equal and opposite reaction,en,0,science,This principle explains how rockets propel themselves in space,science
Electric current is measured in amperes,en,0,science,The ampere is the SI base unit of electric current,science
Voltage is measured in volts,en,0,science,Voltage is the electric potential difference between two points in a circuit,science
Resistance is measured in ohms,en,0,science,"Ohm's Law states V = IR where V is voltage, I is current, and R is resistance",science
Energy is measured in joules,en,0,science,"The joule is the SI unit of energy, work, and heat",science
Force is measured in newtons,en,0,science,One newton is the force needed to accelerate 1 kg at 1 m/s²,science
Power is measured in watts,en,0,science,One watt equals one joule of energy transferred per second,science
Mass is measured in kilograms,en,0,science,The kilogram is the base unit of mass in the SI system,science
The electromagnetic spectrum ranges from radio waves to gamma rays,en,0,science,Visible light is only a small portion of the full electromagnetic spectrum,science
The wavelength of visible light ranges from about 380 to 700 nanometres,en,0,science,Violet has the shortest visible wavelength and red has the longest,science
X-rays pass through soft tissue but are absorbed by dense matter like bone,en,0,science,This property makes X-rays useful for medical imaging,science
Nuclear fission splits atomic nuclei to release energy,en,0,science,Nuclear fission is used in nuclear power plants and atomic bombs,science
Nuclear fusion combines atomic nuclei to release energy,en,0,science,Fusion powers the Sun and is sought as a clean energy source,science
Albert Einstein developed the theory of relativity,en,0,science,Einstein published special relativity in 1905 and general relativity in 1915,science
Plasma is the fourth state of matter,en,0,science,Plasma is ionised gas and is the most common state of visible matter in the universe,science
Copper is an excellent conductor of electricity,en,0,science,Copper's high conductivity makes it widely used in electrical wiring,science
Rubber is a good insulator of electricity,en,0,science,Rubber's molecular structure prevents the flow of electric current,science
Magnets have a north pole and a south pole,en,0,science,Opposite magnetic poles attract while like poles repel,science
Earth has a magnetic field generated by its molten iron core,en,0,science,Earth's magnetic field forms the magnetosphere that shields us from solar wind,science
The Doppler effect describes the change in frequency of a wave relative to a moving observer,en,0,science,The Doppler effect causes a siren to sound higher as it approaches and lower as it moves away,science
Archimedes' principle states an object in fluid experiences an upward buoyant force,en,0,science,Buoyant force equals the weight of the fluid displaced by the object,science
Pascal's principle states pressure in a fluid is transmitted equally in all directions,en,0,science,Pascal's principle is the basis for hydraulic systems,science
Radioactive decay is the spontaneous disintegration of an atomic nucleus,en,0,science,"Radioactive decay releases alpha, beta, or gamma radiation",science
Half-life is the time taken for half of a radioactive substance to decay,en,0,science,Carbon-14 has a half-life of about 5730 years used in radiocarbon dating,science
"The four fundamental forces are gravity, electromagnetism, strong nuclear, and weak nuclear",en,0,science,These four forces govern all interactions between particles in the universe,science
Gravity is the weakest of the four fundamental forces,en,0,science,"Despite being weakest, gravity has infinite range and dominates at cosmic scales",science
A rainbow forms when sunlight is refracted and dispersed by water droplets,en,0,science,Rainbows appear in the direction opposite the Sun at an angle of about 42 degrees,science
Lightning is an electrical discharge in the atmosphere,en,0,science,Lightning occurs when electric charges build up in storm clouds,science
DNA stands for deoxyribonucleic acid,en,0,science,DNA carries genetic information in living organisms,science
"Photosynthesis converts sunlight, water, and CO2 into glucose and oxygen",en,0,science,The equation for photosynthesis is 6CO2 + 6H2O yields C6H12O6 + 6O2,science
The mitochondria is the powerhouse of the cell,en,0,science,Mitochondria generate most of the cell's ATP through cellular respiration,science
The human body has 206 bones in adulthood,en,0,science,Newborns have about 270 bones that fuse over time to become 206,science
The human heart beats about 70 times per minute at rest,en,0,science,A normal resting adult heart rate ranges from 60 to 100 beats per minute,science
The largest organ in the human body is the skin,en,0,science,Human skin covers about 1.5 to 2 square metres and weighs around 3 to 4 kg,science
The brain uses about 20 percent of the body's oxygen supply,en,0,science,The brain consumes 20 percent of total body energy despite being only 2 percent of body weight,science
Red blood cells carry oxygen throughout the body,en,0,science,Red blood cells contain haemoglobin which binds to oxygen molecules,science
White blood cells are part of the immune system,en,0,science,White blood cells defend the body against infections and foreign substances,science
The human genome contains approximately 3 billion base pairs,en,0,science,The human haploid genome has about 3.2 billion nucleotide base pairs,science
Humans have 23 pairs of chromosomes totalling 46,en,0,science,Human somatic cells contain 46 chromosomes arranged in 23 pairs,science
Mitosis produces two genetically identical daughter cells,en,0,science,Mitosis is the process of cell division for growth and repair,science
Meiosis produces four genetically unique sex cells,en,0,science,Meiosis results in gametes with half the chromosomes of the parent cell,science
RNA carries genetic information from DNA to ribosomes,en,0,science,Messenger RNA is transcribed from DNA and translated into proteins at ribosomes,science
Proteins are made of amino acids,en,0,science,There are 20 standard amino acids used to build all proteins,science
Enzymes are biological catalysts that speed up chemical reactions,en,0,science,Enzymes lower the activation energy of biochemical reactions,science
Osmosis is the movement of water across a semi-permeable membrane,en,0,science,Water moves from areas of low solute concentration to high solute concentration,science
Diffusion is the movement of molecules from high to low concentration,en,0,science,Diffusion is a passive process requiring no energy input,science
The Krebs cycle is a key part of cellular respiration,en,0,science,The Krebs cycle occurs in the mitochondria producing ATP and CO2,science
Stem cells can develop into many different cell types,en,0,science,Embryonic stem cells are pluripotent and can differentiate into any cell type,science
CRISPR is a precise gene editing technology,en,0,science,CRISPR-Cas9 won the 2020 Nobel Prize in Chemistry for its gene editing capability,science
The liver is the largest internal organ in the human body,en,0,science,The liver performs over 500 functions including detoxification and protein synthesis,science
Insulin is produced by the pancreas,en,0,science,Insulin regulates blood glucose levels and is essential for energy metabolism,science
Vaccines train the immune system to recognise pathogens,en,0,science,Vaccines contain antigens that stimulate an immune response without causing disease,science
Antibiotics treat bacterial but not viral infections,en,0,science,Antibiotics inhibit or kill bacteria but have no effect on viruses,science
Viruses are not considered living organisms,en,0,science,Viruses lack cellular structure and must use host cells to replicate,science
